Index,Left_Sensor,Front_Sensor,Right_Sensor,Result
0,1000,1000,1000,1
1,1000,1000,1000,1
2,1000,1000,1000,1
3,1000,1000,1000,1
4,1000,1000,1000,1
5,1000,1000,1000,1
6,1000,1000,1000,1
7,1000,1000,1000,1
8,1000,1000,1000,1
9,1000,1000,1000,1
10,1000,1000,1000,1
11,1000,1000,1000,1
12,1000,1000,1000,1
13,1000,1000,1000,1
14,1000,1000,1000,1
15,1000,1000,1000,1
16,1000,1000,1000,1
17,1000,1000,1000,1
18,1000,1000,1000,1
19,1000,1000,1000,1
20,1000,1000,1000,1
21,1000,1000,1000,1
22,1000,1000,1000,1
23,1000,1000,1000,1
24,1000,1000,1000,1
25,1000,1000,1000,1
26,1000,1000,1000,1
27,1000,1000,1000,1
28,1000,1000,1000,1
29,1000,1000,1000,1
30,1000,1000,1000,1
31,1000,1000,1000,1
32,1000,1000,1000,1
33,1000,1000,1000,1
34,1000,1000,1000,1
35,1000,1000,1000,1
36,1000,1000,1000,1
37,1000,1000,1000,1
38,1000,1000,1000,1
39,1000,1000,1000,1
40,1000,1000,1000,1
41,1000,1000,1000,1
42,1000,1000,1000,1
43,1000,1000,1000,1
44,1000,1000,1000,1
45,1000,1000,1000,1
46,1000,1000,1000,1
47,1000,1000,1000,1
48,1000,1000,1000,1
49,1000,1000,1000,1
50,1000,1000,1000,1
51,1000,1000,1000,1
52,1000,1000,1000,1
53,1000,1000,1000,1
54,1000,1000,1000,1
55,1000,1000,1000,1
56,1000,1000,1000,1
57,1000,1000,1000,1
58,1000,926.243513822556,1000,1
59,1000,848.935171961784,1000,1
60,1000,771.420896053314,1000,1
61,1000,693.584084510803,1000,1
62,1000,615.354552865028,1000,1
63,1000,536.712929606438,1000,1
64,944.661274552345,457.690879702568,943.439304828644,2
65,854.030176997185,407.426953315735,892.317220568657,2
66,749.911889433861,371.458828449249,901.011973619461,2
67,646.377205848694,355.11389374733,985.974743962288,2
68,559.167489409447,368.90160292387,1000,2
69,504.08985465765,427.159108221531,1000,2
70,494.088530540466,552.303716540337,1000,2
71,539.147481322289,777.950435876846,1000,2
72,631.513893604279,1000,1000,2
73,772.073492407799,1000,1000,2
74,964.715480804443,1000,1000,1
75,1000,1000,1000,1
76,1000,1000,1000,1
77,1000,1000,1000,1
78,1000,1000,1000,1
79,1000,1000,1000,1
80,1000,1000,1000,1
81,1000,1000,1000,1
82,1000,1000,1000,1
83,1000,1000,1000,1
84,1000,1000,1000,1
85,1000,1000,1000,1
